statgebiet;new_statgebiet
1004;3005
1005;3006
1006;3007
1007;3008
1008;3009
1009;3010
1010;3011
10001;1010
10003;3001
20004;18002
23004;22002
23005;22003
23006;22004
35012;35019
35015;35022
35016;35023
35017;35024
35018;35025
35025;36006
36002;26009
36005;37001
36006;37002
36007;37003
36008;37004
36009;37005
36010;37006
37007;38005
37008;38006
43002;44003
43003;44004
43004;44005
43009;45005
43011;45007
43012;45008
43013;45009
43014;45010
43015;45011
45010;48001
47001;48010
47002;48011
47003;48012
47004;48013
47005;48014
47006;48015
47007;48016
48008;48025
48015;49006
48017;49008
48018;49009
48020;50002
48021;50003
48022;50004
48023;50005
48026;51003
49001;51004
49004;51007
49005;51008
49006;51009
49007;51010
49009;51012
50003;51015
50004;51016
51006;53009
51008;53011
51009;53012
51010;53013
51013;53016
51014;53017
51015;53018
51016;53019
52001;53020
52004;53023
56002;58001
56003;58002
100001;1001
100002;1002
100003;1003
100004;1004
100005;1005
100006;1006
100007;1007
100008;1008
100009;1009
100010;2001
101001;3012
101002;3013
101003;4001
101004;4002
101006;4004
101007;4005
101009;4007
101010;4008
101011;4009
101012;4010
101014;5002
101015;5003
103001;5006
103002;5007
103003;5008
103004;5009
104001;6001
107001;6003
107004;7001
107005;7002
107006;7003
