station_name,stop_number,sum_bevöl,avg_kinder_migration,avg_kinder_alleinerziehende,avg_sgb2_empfänger,avg_arbeitslose,avg_kinder_mindestsicherung,avg_alte_mindestsicherung,avg_schulabschluss_kein_abitur,share_SPD,share_CDU
Wandsbek-Gartenstadt,1,4525,0.408,0.211,0.054,0.033,0.103,0.049,0.381,0.285,0.244
Habichtstraße,2,12714,0.469,0.271,0.087,0.052,0.198,0.117,0.46,0.232,0.212
Barmbek,3,10964,0.485,0.227,0.083,0.043,0.161,0.074,0.403,0.236,0.214
Dehnhaide,4,12112,0.512,0.241,0.078,0.046,0.168,0.092,0.354,0.244,0.219
Hamburger Straße,5,15986,0.504,0.214,0.063,0.045,0.116,0.081,0.353,0.236,0.254
Mundsburg,6,8221,0.454,0.17,0.04,0.041,0.048,0.073,0.29,0.221,0.268
Uhlandstraße,7,12717,0.558,0.172,0.076,0.042,0.163,0.083,0.351,0.207,0.252
Lübecker Straße,8,12169,0.598,0.183,0.101,0.047,0.207,0.112,0.442,0.216,0.225
Berliner Tor,9,8426,0.651,0.191,0.084,0.044,0.226,0.125,0.543,0.186,0.179
Hauptbahnhof Süd,10,6077,0.69,0.244,0.112,0.072,0.227,0.228,0.687,0.184,0.15
Mönckebergstraße,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rathaus,12,NA,NA,NA,NA,NA,NA,NA,NA,0.181,0.246
Rödingsmarkt,13,5840,0.588,0.316,0.105,0.061,0.187,0.195,0.361,0.176,0.234
Baumwall (Elbphilharmonie),14,5726,0.484,0.27,0.039,0.033,0.079,0.094,0.376,0.182,0.237
Landungsbrücken,15,6617,0.525,0.25,0.101,0.063,0.176,0.196,0.509,0.192,0.157
St.Pauli,16,13998,0.456,0.227,0.112,0.073,0.181,0.244,0.515,0.206,0.186
Feldstraße (Heiligengeistfeld),17,9943,0.545,0.318,0.137,0.072,0.238,0.205,0.503,0.149,0.11
Sternschanze (Messe),18,13138,0.428,0.237,0.077,0.048,0.132,0.145,0.31,0.164,0.111
Schlump,19,6569,0.351,0.256,0.047,0.038,0.073,0.06,0.252,0.166,0.138
Hoheluftbrücke,20,14140,0.342,0.201,0.038,0.036,0.056,0.07,0.227,0.196,0.213
Eppendorfer Baum,21,17482,0.263,0.162,0.009,0.019,0.009,0.025,0.103,0.144,0.322
Kellinghusenstraße,22,10829,0.26,0.167,0.013,0.02,0.011,0.03,0.112,0.159,0.306
Sierichstraße,23,14625,0.343,0.171,0.033,0.027,0.061,0.037,0.231,0.163,0.301
Borgweg (Stadtpark),24,9520,0.336,0.178,0.037,0.029,0.072,0.063,0.315,0.208,0.252
Saarlandstraße,25,11088,0.37,0.176,0.054,0.03,0.092,0.056,0.336,0.204,0.24
